year,country,city,category,firstname,surname,gender
1901,Germany,Munich,physics,Wilhelm Conrad,Röntgen,male
1902,the Netherlands,Leiden,physics,Hendrik Antoon,Lorentz,male
1902,the Netherlands,Amsterdam,physics,Pieter,Zeeman,male
1903,France,Paris,physics,Antoine Henri,Becquerel,male
1903,France,Paris,physics,Pierre,Curie,male
1903,,,physics,Marie,"Curie, née Sklodowska",female
1911,France,Paris,chemistry,Marie,"Curie, née Sklodowska",female
1904,United Kingdom,London,physics,Lord Rayleigh,(John William Strutt),male
1905,Germany,Kiel,physics,Philipp Eduard Anton,von Lenard,male
1906,United Kingdom,Cambridge,physics,Joseph John,Thomson,male
1907,USA,"Chicago, IL",physics,Albert Abraham,Michelson,male
1908,France,Paris,physics,Gabriel,Lippmann,male
1909,United Kingdom,London,physics,Guglielmo,Marconi,male
1909,"Alsace (then Germany, now France)",Strasbourg,physics,Karl Ferdinand,Braun,male
1910,the Netherlands,Amsterdam,physics,Johannes Diderik,van der Waals,male
1911,Germany,Würzburg,physics,Wilhelm,Wien,male
1912,Sweden,Lidingö-Stockholm,physics,Nils Gustaf,Dalén,male
1913,the Netherlands,Leiden,physics,Heike,Kamerlingh Onnes,male
1914,Germany,Frankfurt-on-the-Main,physics,Max,von Laue,male
1915,United Kingdom,London,physics,Sir William Henry,Bragg,male
1915,United Kingdom,Manchester,physics,William Lawrence,Bragg,male
1917,United Kingdom,Edinburgh,physics,Charles Glover,Barkla,male
1918,Germany,Berlin,physics,Max Karl Ernst Ludwig,Planck,male
1919,Germany,Greifswald,physics,Johannes,Stark,male
1920,France,Sèvres,physics,Charles Edouard,Guillaume,male
1921,Germany,Berlin,physics,Albert,Einstein,male
1922,Denmark,Copenhagen,physics,Niels Henrik David,Bohr,male
1923,USA,"Pasadena, CA",physics,Robert Andrews,Millikan,male
1924,Sweden,Uppsala,physics,Karl Manne Georg,Siegbahn,male
1925,Germany,Göttingen,physics,James,Franck,male
1925,Germany,Halle,physics,Gustav Ludwig,Hertz,male
1926,France,Paris,physics,Jean Baptiste,Perrin,male
1927,USA,"Chicago, IL",physics,Arthur Holly,Compton,male
1927,United Kingdom,Cambridge,physics,Charles Thomson Rees,Wilson,male
1928,United Kingdom,London,physics,Owen Willans,Richardson,male
1929,France,Paris,physics,Prince Louis-Victor Pierre Raymond,de Broglie,male
1930,India,Calcutta,physics,Sir Chandrasekhara Venkata,Raman,male
1932,Germany,Leipzig,physics,Werner Karl,Heisenberg,male
1933,Germany,Berlin,physics,Erwin,Schrödinger,male
1933,United Kingdom,Cambridge,physics,Paul Adrien Maurice,Dirac,male
1935,United Kingdom,Liverpool,physics,James,Chadwick,male
1936,Austria,Innsbruck,physics,Victor Franz,Hess,male
1936,USA,"Pasadena, CA",physics,Carl David,Anderson,male
1937,USA,"New York, NY",physics,Clinton Joseph,Davisson,male
1937,United Kingdom,London,physics,George Paget,Thomson,male
1938,Italy,Rome,physics,Enrico,Fermi,male
1939,USA,"Berkeley, CA",physics,Ernest Orlando,Lawrence,male
1943,USA,"Pittsburgh, PA",physics,Otto,Stern,male
1944,USA,"New York, NY",physics,Isidor Isaac,Rabi,male
1945,USA,"Princeton, NJ",physics,Wolfgang,Pauli,male
1946,USA,"Cambridge, MA",physics,Percy Williams,Bridgman,male
1947,United Kingdom,London,physics,Sir Edward Victor,Appleton,male
1948,United Kingdom,Manchester,physics,Patrick Maynard Stuart,Blackett,male
1949,Japan,Kyoto,physics,Hideki,Yukawa,male
1950,United Kingdom,Bristol,physics,Cecil Frank,Powell,male
1951,United Kingdom,"Harwell, Berkshire",physics,Sir John Douglas,Cockcroft,male
1951,Ireland,Dublin,physics,Ernest Thomas Sinton,Walton,male
1952,USA,"Stanford, CA",physics,Felix,Bloch,male
1952,USA,"Cambridge, MA",physics,Edward Mills,Purcell,male
1953,the Netherlands,Groningen,physics,Frits,Zernike,male
1954,United Kingdom,Edinburgh,physics,Max,Born,male
1954,Federal Republic of Germany,Heidelberg,physics,Walther,Bothe,male
1955,USA,"Stanford, CA",physics,Willis Eugene,Lamb,male
1955,USA,"New York, NY",physics,Polykarp,Kusch,male
1956,USA,"Mountain View, CA",physics,William Bradford,Shockley,male
1956,USA,"Urbana, IL",physics,John,Bardeen,male
1972,USA,"Urbana, IL",physics,John,Bardeen,male
1956,USA,"Murray Hill, NJ",physics,Walter Houser,Brattain,male
1957,USA,"Princeton, NJ",physics,Chen Ning,Yang,male
1957,USA,"New York, NY",physics,Tsung-Dao (T.D.),Lee,male
1958,USSR,Moscow,physics,Pavel Alekseyevich,Cherenkov,male
1958,USSR,Moscow,physics,Igor Yevgenyevich,Tamm,male
1959,USA,"Berkeley, CA",physics,Emilio Gino,Segrè,male
1959,USA,"Berkeley, CA",physics,Owen,Chamberlain,male
1960,USA,"Berkeley, CA",physics,Donald Arthur,Glaser,male
1961,USA,"Stanford, CA",physics,Robert,Hofstadter,male
1961,Federal Republic of Germany,Munich,physics,Rudolf Ludwig,Mössbauer,male
1962,USSR,Moscow,physics,Lev Davidovich,Landau,male
1963,USA,"Princeton, NJ",physics,Eugene Paul,Wigner,male
1963,USA,"San Diego, CA",physics,Maria,Goeppert Mayer,female
1963,Federal Republic of Germany,Heidelberg,physics,J. Hans D.,Jensen,male
1964,USA,"Cambridge, MA",physics,Charles Hard,Townes,male
1964,USSR,Moscow,physics,Nicolay Gennadiyevich,Basov,male
1964,USSR,Moscow,physics,Aleksandr Mikhailovich,Prokhorov,male
1965,Japan,Tokyo,physics,Sin-Itiro,Tomonaga,male
1965,USA,"Cambridge, MA",physics,Julian,Schwinger,male
1965,USA,"Pasadena, CA",physics,Richard P.,Feynman,male
1966,France,Paris,physics,Alfred,Kastler,male
1967,USA,"Ithaca, NY",physics,Hans Albrecht,Bethe,male
1968,USA,"Berkeley, CA",physics,Luis Walter,Alvarez,male
1969,USA,"Pasadena, CA",physics,Murray,Gell-Mann,male
1970,Sweden,Stockholm,physics,Hannes Olof Gösta,Alfvén,male
1970,France,Grenoble,physics,Louis Eugène Félix,Néel,male
1971,United Kingdom,London,physics,Dennis,Gabor,male
1972,USA,"Providence, RI",physics,Leon Neil,Cooper,male
1972,USA,"Philadelphia, PA",physics,John Robert,Schrieffer,male
1973,USA,"Yorktown Heights, NY",physics,Leo,Esaki,male
1973,USA,"Schenectady, NY",physics,Ivar,Giaever,male
1973,United Kingdom,Cambridge,physics,Brian David,Josephson,male
1974,United Kingdom,Cambridge,physics,Sir Martin,Ryle,male
1974,United Kingdom,Cambridge,physics,Antony,Hewish,male
1975,Denmark,Copenhagen,physics,Aage Niels,Bohr,male
1975,Denmark,Copenhagen,physics,Ben Roy,Mottelson,male
1975,USA,"New York, NY",physics,Leo James,Rainwater,male
1976,USA,"Stanford, CA",physics,Burton,Richter,male
1976,USA,"Cambridge, MA",physics,Samuel Chao Chung,Ting,male
1977,USA,"Murray Hill, NJ",physics,Philip Warren,Anderson,male
1977,United Kingdom,Cambridge,physics,Sir Nevill Francis,Mott,male
1977,USA,"Cambridge, MA",physics,John Hasbrouck,van Vleck,male
1978,USSR,Moscow,physics,Pyotr Leonidovich,Kapitsa,male
1978,USA,"Holmdel, NJ",physics,Arno Allan,Penzias,male
1978,USA,"Holmdel, NJ",physics,Robert Woodrow,Wilson,male
1979,USA,"Cambridge, MA",physics,Sheldon Lee,Glashow,male
1979,Italy,Trieste,physics,Abdus,Salam,male
1979,USA,"Cambridge, MA",physics,Steven,Weinberg,male
1980,USA,"Chicago, IL",physics,James Watson,Cronin,male
1980,USA,"Princeton, NJ",physics,Val Logsdon,Fitch,male
1981,USA,"Cambridge, MA",physics,Nicolaas,Bloembergen,male
1981,USA,"Stanford, CA",physics,Arthur Leonard,Schawlow,male
1981,Sweden,Uppsala,physics,Kai M.,Siegbahn,male
1982,USA,"Ithaca, NY",physics,Kenneth G.,Wilson,male
1983,USA,"Chicago, IL",physics,Subramanyan,Chandrasekhar,male
1983,USA,"Pasadena, CA",physics,William Alfred,Fowler,male
1984,Switzerland,Geneva,physics,Carlo,Rubbia,male
1984,Switzerland,Geneva,physics,Simon,van der Meer,male
1985,Federal Republic of Germany,Stuttgart,physics,Klaus,von Klitzing,male
1986,Federal Republic of Germany,Berlin,physics,Ernst,Ruska,male
1986,Switzerland,Rüschlikon,physics,Gerd,Binnig,male
1986,Switzerland,Rüschlikon,physics,Heinrich,Rohrer,male
1987,Switzerland,Rüschlikon,physics,J. Georg,Bednorz,male
1987,Switzerland,Rüschlikon,physics,K. Alexander,Müller,male
1988,USA,"Batavia, IL",physics,Leon M.,Lederman,male
1988,USA,"Mountain View, CA",physics,Melvin,Schwartz,male
1988,Switzerland,Geneva,physics,Jack,Steinberger,male
1989,USA,"Cambridge, MA",physics,Norman F.,Ramsey,male
1989,USA,"Seattle, WA",physics,Hans G.,Dehmelt,male
1989,Federal Republic of Germany,Bonn,physics,Wolfgang,Paul,male
1990,USA,"Cambridge, MA",physics,Jerome I.,Friedman,male
1990,USA,"Cambridge, MA",physics,Henry W.,Kendall,male
1990,USA,"Stanford, CA",physics,Richard E.,Taylor,male
1991,France,Paris,physics,Pierre-Gilles,de Gennes,male
1992,France,Paris,physics,Georges,Charpak,male
1993,USA,"Princeton, NJ",physics,Russell A.,Hulse,male
1993,USA,"Princeton, NJ",physics,Joseph H.,Taylor Jr.,male
1994,Canada,"Hamilton, Ontario",physics,Bertram N.,Brockhouse,male
1994,USA,"Cambridge, MA",physics,Clifford G.,Shull,male
1995,USA,"Stanford, CA",physics,Martin L.,Perl,male
1995,USA,"Irvine, CA",physics,Frederick,Reines,male
1996,USA,"Ithaca, NY",physics,David M.,Lee,male
1996,USA,"Stanford, CA",physics,Douglas D.,Osheroff,male
1996,USA,"Ithaca, NY",physics,Robert C.,Richardson,male
1997,USA,"Stanford, CA",physics,Steven,Chu,male
1997,France,Paris,physics,Claude,Cohen-Tannoudji,male
1997,USA,"Gaithersburg, MD",physics,William D.,Phillips,male
1998,USA,"Stanford, CA",physics,Robert B.,Laughlin,male
1998,USA,"New York, NY",physics,Horst L.,Störmer,male
1998,USA,"Princeton, NJ",physics,Daniel C.,Tsui,male
1999,the Netherlands,Utrecht,physics,Gerardus,'t Hooft,male
1999,the Netherlands,Bilthoven,physics,Martinus J.G.,Veltman,male
1901,Germany,Berlin,chemistry,Jacobus Henricus,van 't Hoff,male
1902,Germany,Berlin,chemistry,Hermann Emil,Fischer,male
1903,Sweden,Stockholm,chemistry,Svante August,Arrhenius,male
1904,United Kingdom,London,chemistry,Sir William,Ramsay,male
1905,Germany,Munich,chemistry,Johann Friedrich Wilhelm Adolf,von Baeyer,male
1906,France,Paris,chemistry,Henri,Moissan,male
1907,Germany,Berlin,chemistry,Eduard,Buchner,male
1908,United Kingdom,Manchester,chemistry,Ernest,Rutherford,male
1909,Germany,Leipzig,chemistry,Wilhelm,Ostwald,male
1910,Germany,Göttingen,chemistry,Otto,Wallach,male
1912,France,Nancy,chemistry,Victor,Grignard,male
1912,France,Toulouse,chemistry,Paul,Sabatier,male
1913,Switzerland,Zurich,chemistry,Alfred,Werner,male
1914,USA,"Cambridge, MA",chemistry,Theodore William,Richards,male
1915,Germany,Munich,chemistry,Richard Martin,Willstätter,male
1918,Germany,Berlin-Dahlem,chemistry,Fritz,Haber,male
1920,Germany,Berlin,chemistry,Walther Hermann,Nernst,male
1921,United Kingdom,Oxford,chemistry,Frederick,Soddy,male
1922,United Kingdom,Cambridge,chemistry,Francis William,Aston,male
1923,Austria,Graz,chemistry,Fritz,Pregl,male
1925,Germany,Göttingen,chemistry,Richard Adolf,Zsigmondy,male
1926,Sweden,Uppsala,chemistry,The (Theodor),Svedberg,male
1927,Germany,Munich,chemistry,Heinrich Otto,Wieland,male
1928,Germany,Göttingen,chemistry,Adolf Otto Reinhold,Windaus,male
1929,United Kingdom,London,chemistry,Arthur,Harden,male
1929,Sweden,Stockholm,chemistry,Hans Karl August Simon,von Euler-Chelpin,male
1930,Germany,Munich,chemistry,Hans,Fischer,male
1931,Germany,Heidelberg,chemistry,Carl,Bosch,male
1931,Germany,Heidelberg,chemistry,Friedrich,Bergius,male
1932,USA,"Schenectady, NY",chemistry,Irving,Langmuir,male
1934,USA,"New York, NY",chemistry,Harold Clayton,Urey,male
1935,France,Paris,chemistry,Frédéric,Joliot,male
1935,France,Paris,chemistry,Irène,Joliot-Curie,female
1936,Germany,Berlin,chemistry,Petrus (Peter) Josephus Wilhelmus,Debye,male
1937,United Kingdom,Birmingham,chemistry,Walter Norman,Haworth,male
1937,Switzerland,Zurich,chemistry,Paul,Karrer,male
1938,Germany,Heidelberg,chemistry,Richard,Kuhn,male
1939,Germany,Berlin-Dahlem,chemistry,Adolf Friedrich Johann,Butenandt,male
1939,Switzerland,Zurich,chemistry,Leopold,Ruzicka,male
1943,Sweden,Stockholm,chemistry,George,de Hevesy,male
1944,Germany,Berlin-Dahlem,chemistry,Otto,Hahn,male
1945,Finland,Helsinki,chemistry,Artturi Ilmari,Virtanen,male
1946,USA,"Ithaca, NY",chemistry,James Batcheller,Sumner,male
1946,USA,"Princeton, NJ",chemistry,John Howard,Northrop,male
1946,USA,"Princeton, NJ",chemistry,Wendell Meredith,Stanley,male
1947,United Kingdom,Oxford,chemistry,Sir Robert,Robinson,male
1948,Sweden,Uppsala,chemistry,Arne Wilhelm Kaurin,Tiselius,male
1949,USA,"Berkeley, CA",chemistry,William Francis,Giauque,male
1950,Federal Republic of Germany,Kiel,chemistry,Otto Paul Hermann,Diels,male
1950,Federal Republic of Germany,Cologne,chemistry,Kurt,Alder,male
1951,USA,"Berkeley, CA",chemistry,Edwin Mattison,McMillan,male
1951,USA,"Berkeley, CA",chemistry,Glenn Theodore,Seaborg,male
1952,United Kingdom,London,chemistry,Archer John Porter,Martin,male
1952,United Kingdom,Bucksburn (Scotland),chemistry,Richard Laurence Millington,Synge,male
1953,Federal Republic of Germany,Breisgau,chemistry,Hermann,Staudinger,male
1954,USA,"Pasadena, CA",chemistry,Linus Carl,Pauling,male
1962,USA,"Pasadena, CA",peace,Linus Carl,Pauling,male
1955,USA,"Ithaca, NY",chemistry,Vincent,du Vigneaud,male
1956,United Kingdom,Oxford,chemistry,Sir Cyril Norman,Hinshelwood,male
1956,USSR,Moscow,chemistry,Nikolay Nikolaevich,Semenov,male
1957,United Kingdom,Cambridge,chemistry,Lord (Alexander R.),Todd,male
1958,United Kingdom,Cambridge,chemistry,Frederick,Sanger,male
1980,United Kingdom,Cambridge,chemistry,Frederick,Sanger,male
1959,Czechoslovakia,Prague,chemistry,Jaroslav,Heyrovsky,male
1960,USA,"Los Angeles, CA",chemistry,Willard Frank,Libby,male
1961,USA,"Berkeley, CA",chemistry,Melvin,Calvin,male
1962,United Kingdom,Cambridge,chemistry,Max Ferdinand,Perutz,male
1962,United Kingdom,Cambridge,chemistry,John Cowdery,Kendrew,male
1963,Federal Republic of Germany,Mülheim/Ruhr,chemistry,Karl,Ziegler,male
1963,Italy,Milan,chemistry,Giulio,Natta,male
1964,United Kingdom,Oxford,chemistry,Dorothy Crowfoot,Hodgkin,female
1965,USA,"Cambridge, MA",chemistry,Robert Burns,Woodward,male
1966,USA,"Chicago, IL",chemistry,Robert S.,Mulliken,male
1967,Federal Republic of Germany,Göttingen,chemistry,Manfred,Eigen,male
1967,United Kingdom,Cambridge,chemistry,Ronald George Wreyford,Norrish,male
1967,United Kingdom,London,chemistry,George,Porter,male
1968,USA,"New Haven, CT",chemistry,Lars,Onsager,male
1969,United Kingdom,London,chemistry,Derek H. R.,Barton,male
1969,Norway,Oslo,chemistry,Odd,Hassel,male
1970,Argentina,Buenos Aires,chemistry,Luis F.,Leloir,male
1971,Canada,Ottawa,chemistry,Gerhard,Herzberg,male
1972,USA,"Bethesda, MD",chemistry,Christian B.,Anfinsen,male
1972,USA,"New York, NY",chemistry,Stanford,Moore,male
1972,USA,"New York, NY",chemistry,William H.,Stein,male
1973,Federal Republic of Germany,Munich,chemistry,Ernst Otto,Fischer,male
1973,United Kingdom,London,chemistry,Geoffrey,Wilkinson,male
1974,USA,"Stanford, CA",chemistry,Paul J.,Flory,male
1975,United Kingdom,Brighton,chemistry,John Warcup,Cornforth,male
1975,Switzerland,Zurich,chemistry,Vladimir,Prelog,male
1976,USA,"Cambridge, MA",chemistry,William N.,Lipscomb,male
1977,Belgium,Brussels,chemistry,Ilya,Prigogine,male
1978,United Kingdom,Bodmin,chemistry,Peter D.,Mitchell,male
1979,USA,"West Lafayette, IN",chemistry,Herbert C.,Brown,male
1979,Federal Republic of Germany,Heidelberg,chemistry,Georg,Wittig,male
1980,USA,"Stanford, CA",chemistry,Paul,Berg,male
1980,USA,"Cambridge, MA",chemistry,Walter,Gilbert,male
1981,Japan,Kyoto,chemistry,Kenichi,Fukui,male
1981,USA,"Ithaca, NY",chemistry,Roald,Hoffmann,male
1982,United Kingdom,Cambridge,chemistry,Aaron,Klug,male
1983,USA,"Stanford, CA",chemistry,Henry,Taube,male
1984,USA,"New York, NY",chemistry,Robert Bruce,Merrifield,male
1985,USA,"Buffalo, NY",chemistry,Herbert A.,Hauptman,male
1985,USA,"Washington, DC",chemistry,Jerome,Karle,male
1986,USA,"Cambridge, MA",chemistry,Dudley R.,Herschbach,male
1986,USA,"Berkeley, CA",chemistry,Yuan T.,Lee,male
1986,Canada,Toronto,chemistry,John C.,Polanyi,male
1987,USA,"Los Angeles, CA",chemistry,Donald J.,Cram,male
1987,France,Strasbourg,chemistry,Jean-Marie,Lehn,male
1987,USA,"Wilmington, DE",chemistry,Charles J.,Pedersen,male
