year,country,city,category,firstname,surname,gender
1926,,,literature,Grazia,Deledda,female
1927,,,literature,Henri,Bergson,male
1928,,,literature,Sigrid,Undset,female
1929,,,literature,Thomas,Mann,male
1930,,,literature,Sinclair,Lewis,male
1931,,,literature,Erik Axel,Karlfeldt,male
1932,,,literature,John,Galsworthy,male
1933,,,literature,Ivan Alekseyevich,Bunin,male
1934,,,literature,Luigi,Pirandello,male
1936,,,literature,Eugene Gladstone,O'Neill,male
1937,,,literature,Roger,Martin du Gard,male
1938,,,literature,Pearl,Buck,female
1939,,,literature,Frans Eemil,Sillanpää,male
1944,,,literature,Johannes Vilhelm,Jensen,male
1945,,,literature,Gabriela,Mistral,female
1946,,,literature,Hermann,Hesse,male
1947,,,literature,André Paul Guillaume,Gide,male
1948,,,literature,Thomas Stearns,Eliot,male
1949,,,literature,William,Faulkner,male
1950,,,literature,Earl (Bertrand Arthur William),Russell,male
1951,,,literature,Pär Fabian,Lagerkvist,male
1952,,,literature,François,Mauriac,male
1953,,,literature,Sir Winston Leonard Spencer,Churchill,male
1954,,,literature,Ernest Miller,Hemingway,male
1955,,,literature,Halldór Kiljan,Laxness,male
1956,,,literature,Juan Ramón,Jiménez,male
1957,,,literature,Albert,Camus,male
1958,,,literature,Boris Leonidovich,Pasternak,male
1959,,,literature,Salvatore,Quasimodo,male
1960,,,literature,Saint-John,Perse,male
1961,,,literature,Ivo,Andric,male
1962,,,literature,John,Steinbeck,male
1963,,,literature,Giorgos,Seferis,male
1964,,,literature,Jean-Paul,Sartre,male
1965,,,literature,Mikhail Aleksandrovich,Sholokhov,male
1966,,,literature,Shmuel Yosef,Agnon,male
1966,,,literature,Nelly,Sachs,female
1967,,,literature,Miguel Angel,Asturias,male
1968,,,literature,Yasunari,Kawabata,male
1969,,,literature,Samuel,Beckett,male
1970,,,literature,Aleksandr Isayevich,Solzhenitsyn,male
1971,,,literature,Pablo,Neruda,male
1972,,,literature,Heinrich,Böll,male
1973,,,literature,Patrick,White,male
1974,,,literature,Eyvind,Johnson,male
1974,,,literature,Harry,Martinson,male
1975,,,literature,Eugenio,Montale,male
1976,,,literature,Saul,Bellow,male
1977,,,literature,Vicente,Aleixandre,male
1978,,,literature,Isaac Bashevis,Singer,male
1979,,,literature,Odysseus,Elytis,male
1980,,,literature,Czeslaw,Milosz,male
1981,,,literature,Elias,Canetti,male
1982,,,literature,Gabriel,García Márquez,male
1983,,,literature,William,Golding,male
1984,,,literature,Jaroslav,Seifert,male
1985,,,literature,Claude,Simon,male
1986,,,literature,Wole,Soyinka,male
1987,,,literature,Joseph,Brodsky,male
1988,,,literature,Naguib,Mahfouz,male
1989,,,literature,Camilo José,Cela,male
1990,,,literature,Octavio,Paz,male
1991,,,literature,Nadine,Gordimer,female
1992,,,literature,Derek,Walcott,male
1993,,,literature,Toni,Morrison,female
1994,,,literature,Kenzaburo,Oe,male
1995,,,literature,Seamus,Heaney,male
1996,,,literature,Wislawa,Szymborska,female
1997,,,literature,Dario,Fo,male
1998,,,literature,José,Saramago,male
1999,,,literature,Günter,Grass,male
1969,Norway,Oslo,economics,Ragnar,Frisch,male
1969,the Netherlands,Rotterdam,economics,Jan,Tinbergen,male
1970,USA,"Cambridge, MA",economics,Paul A.,Samuelson,male
1971,USA,"Cambridge, MA",economics,Simon,Kuznets,male
1972,United Kingdom,Oxford,economics,John R.,Hicks,male
1972,USA,"Cambridge, MA",economics,Kenneth J.,Arrow,male
1973,USA,"Cambridge, MA",economics,Wassily,Leontief,male
1974,,,economics,Gunnar,Myrdal,male
1974,,,economics,Friedrich August,von Hayek,male
1975,USSR,Moscow,economics,Leonid Vitaliyevich,Kantorovich,male
1975,USA,"New Haven, CT",economics,Tjalling C.,Koopmans,male
1976,USA,"Chicago, IL",economics,Milton,Friedman,male
1977,Sweden,Stockholm,economics,Bertil,Ohlin,male
1977,United Kingdom,Cambridge,economics,James E.,Meade,male
1978,USA,"Pittsburgh, PA",economics,Herbert A.,Simon,male
1979,USA,"Chicago, IL",economics,Theodore W.,Schultz,male
1979,USA,"Princeton, NJ",economics,Sir Arthur,Lewis,male
1980,USA,"Philadelphia, PA",economics,Lawrence R.,Klein,male
1981,USA,"New Haven, CT",economics,James,Tobin,male
1982,USA,"Chicago, IL",economics,George J.,Stigler,male
1983,USA,"Berkeley, CA",economics,Gerard,Debreu,male
1984,United Kingdom,Cambridge,economics,Richard,Stone,male
1985,USA,"Cambridge, MA",economics,Franco,Modigliani,male
1986,USA,"Fairfax, VA",economics,James M.,Buchanan Jr.,male
1987,USA,"Cambridge, MA",economics,Robert M.,Solow,male
1988,France,Paris,economics,Maurice,Allais,male
1989,Norway,Oslo,economics,Trygve,Haavelmo,male
1990,USA,"New York, NY",economics,Harry M.,Markowitz,male
1990,USA,"Chicago, IL",economics,Merton H.,Miller,male
1990,USA,"Stanford, CA",economics,William F.,Sharpe,male
1991,USA,"Chicago, IL",economics,Ronald H.,Coase,male
1992,USA,"Chicago, IL",economics,Gary S.,Becker,male
1993,USA,"Chicago, IL",economics,Robert W.,Fogel,male
1993,USA,"St. Louis, MO",economics,Douglass C.,North,male
1994,USA,"Berkeley, CA",economics,John C.,Harsanyi,male
1994,USA,"Princeton, NJ",economics,John F.,Nash Jr.,male
1994,Federal Republic of Germany,Bonn,economics,Reinhard,Selten,male
1995,USA,"Chicago, IL",economics,Robert E.,Lucas Jr.,male
1996,United Kingdom,Cambridge,economics,James A.,Mirrlees,male
1996,USA,"New York, NY",economics,William,Vickrey,male
1997,USA,"Cambridge, MA",economics,Robert C.,Merton,male
1997,USA,"Greenwich, CT",economics,Myron S.,Scholes,male
1998,United Kingdom,Cambridge,economics,Amartya,Sen,male
1999,USA,"New York, NY",economics,Robert A.,Mundell,male
1958,USSR,Moscow,physics,Il´ja Mikhailovich,Frank,male
2000,Sweden,Gothenburg,medicine,Arvid,Carlsson,male
2000,USA,"New York, NY",medicine,Paul,Greengard,male
2000,USA,"New York, NY",medicine,Eric R.,Kandel,male
2000,,,peace,Kim,Dae-jung,male
2000,Russia,St. Petersburg,physics,Zhores I.,Alferov,male
2000,USA,"Santa Barbara, CA",physics,Herbert,Kroemer,male
2000,USA,"Dallas, TX",physics,Jack S.,Kilby,male
2000,USA,"Santa Barbara, CA",chemistry,Alan J.,Heeger,male
2000,USA,"Philadelphia, PA",chemistry,Alan G.,MacDiarmid,male
2000,Japan,Tokyo,chemistry,Hideki,Shirakawa,male
2000,USA,"Chicago, IL",economics,James J.,Heckman,male
2000,USA,"Berkeley, CA",economics,Daniel L.,McFadden,male
2000,,,literature,Gao,Xingjian,male
2001,USA,"Seattle, WA",medicine,Leland H.,Hartwell,male
2001,United Kingdom,London,medicine,Tim,Hunt,male
2001,United Kingdom,London,medicine,Sir Paul M.,Nurse,male
2001,USA,"Boulder, CO",physics,Eric A.,Cornell,male
2001,USA,"Cambridge, MA",physics,Wolfgang,Ketterle,male
2001,USA,"Boulder, CO",physics,Carl E.,Wieman,male
2001,USA,"St. Louis, MO",chemistry,William S.,Knowles,male
2001,Japan,Nagoya,chemistry,Ryoji,Noyori,male
2001,USA,"La Jolla, CA",chemistry,K. Barry,Sharpless,male
2001,USA,"Berkeley, CA",economics,George A.,Akerlof,male
2001,USA,"Stanford, CA",economics,A. Michael,Spence,male
2001,USA,"New York, NY",economics,Joseph E.,Stiglitz,male
2001,,,literature,Sir Vidiadhar Surajprasad,Naipaul,male
2001,,,peace,Kofi,Annan,male
2002,USA,"Berkeley, CA",medicine,Sydney,Brenner,male
2002,USA,"Cambridge, MA",medicine,H. Robert,Horvitz,male
2002,United Kingdom,Cambridge,medicine,John E.,Sulston,male
2002,USA,"Philadelphia, PA",physics,Raymond,Davis Jr.,male
2002,Japan,Tokyo,physics,Masatoshi,Koshiba,male
2002,USA,"Washington, DC",physics,Riccardo,Giacconi,male
2002,USA,"Richmond, VA",chemistry,John B.,Fenn,male
2002,Japan,Kyoto,chemistry,Koichi,Tanaka,male
2002,Switzerland,Zurich,chemistry,Kurt,Wüthrich,male
2002,USA,"Princeton, NJ",economics,Daniel,Kahneman,male
2002,USA,"Fairfax, VA",economics,Vernon L.,Smith,male
2002,,,literature,Imre,Kertész,male
2002,,,peace,Jimmy,Carter,male
2003,,,literature,John M.,Coetzee,male
2003,USA,"Urbana, IL",medicine,Paul C.,Lauterbur,male
2003,United Kingdom,Nottingham,medicine,Sir Peter,Mansfield,male
2003,USA,"Argonne, IL",physics,Alexei A.,Abrikosov,male
2003,Russia,Moscow,physics,Vitaly L.,Ginzburg,male
2003,USA,"Urbana, IL",physics,Anthony J.,Leggett,male
2003,USA,"Baltimore, MD",chemistry,Peter,Agre,male
2003,USA,"New York, NY",chemistry,Roderick,MacKinnon,male
2003,USA,"New York, NY",economics,Robert F.,Engle III,male
2003,USA,"San Diego, CA",economics,Clive W.J.,Granger,male
2003,,,peace,Shirin,Ebadi,female
2004,USA,"New York, NY",medicine,Richard,Axel,male
2004,USA,"Seattle, WA",medicine,Linda B.,Buck,female
2004,USA,"Santa Barbara, CA",physics,David J.,Gross,male
2004,USA,"Pasadena, CA",physics,H. David,Politzer,male
2004,USA,"Cambridge, MA",physics,Frank,Wilczek,male
2004,Israel,Haifa,chemistry,Aaron,Ciechanover,male
2004,Israel,Haifa,chemistry,Avram,Hershko,male
2004,USA,"Irvine, CA",chemistry,Irwin,Rose,male
2004,,,literature,Elfriede,Jelinek,female
2004,,,peace,Wangari Muta,Maathai,female
2004,USA,"Pittsburgh, PA",economics,Finn E.,Kydland,male
2004,USA,"Tempe, AZ",economics,Edward C.,Prescott,male
2005,Australia,Nedlands,medicine,Barry J.,Marshall,male
2005,Australia,Perth,medicine,J. Robin,Warren,male
2005,USA,"Cambridge, MA",physics,Roy J.,Glauber,male
2005,USA,"Boulder, CO",physics,John L.,Hall,male
2005,Germany,Garching,physics,Theodor W.,Hänsch,male
2005,France,Rueil-Malmaison,chemistry,Yves,Chauvin,male
2005,USA,"Pasadena, CA",chemistry,Robert H.,Grubbs,male
2005,USA,"Cambridge, MA",chemistry,Richard R.,Schrock,male
2005,,,peace,Mohamed,ElBaradei,male
2005,Israel,Jerusalem,economics,Robert J.,Aumann,male
2005,USA,"College Park, MD",economics,Thomas C.,Schelling,male
2005,,,literature,Harold,Pinter,male
2006,USA,"Stanford, CA",medicine,Andrew Z.,Fire,male
2006,USA,"Worcester, MA",medicine,Craig C.,Mello,male
2006,USA,"Greenbelt, MD",physics,John C.,Mather,male
2006,USA,"Berkeley, CA",physics,George F.,Smoot,male
2006,USA,"Stanford, CA",chemistry,Roger D.,Kornberg,male
2006,USA,"New York, NY",economics,Edmund S.,Phelps,male
2006,,,literature,Orhan,Pamuk,male
2006,,,peace,Muhammad,Yunus,male
2007,USA,"Salt Lake City, UT",medicine,Mario R.,Capecchi,male
2007,United Kingdom,Cardiff,medicine,Sir Martin J.,Evans,male
2007,USA,"Chapel Hill, NC",medicine,Oliver,Smithies,male
2007,France,Orsay,physics,Albert,Fert,male
2007,Germany,J&uuml;lich,physics,Peter,Grünberg,male
2007,Germany,Berlin,chemistry,Gerhard,Ertl,male
2007,,,literature,Doris,Lessing,female
2007,,,peace,Albert Arnold (Al),Gore Jr.,male
2007,USA,"Minneapolis, MN",economics,Leonid,Hurwicz,male
2007,USA,"Princeton, NJ",economics,Eric S.,Maskin,male
2007,USA,"Chicago, IL",economics,Roger B.,Myerson,male
2008,Germany,Heidelberg,medicine,Harald,zur Hausen,male
2008,France,Paris,medicine,Françoise,Barré-Sinoussi,female
2008,France,Paris,medicine,Luc,Montagnier,male
2008,USA,"Chicago, IL",physics,Yoichiro,Nambu,male
2008,Japan,Tsukuba,physics,Makoto,Kobayashi,male
2008,Japan,Kyoto,physics,Toshihide,Maskawa,male
2008,USA,"Woods Hole, MA",chemistry,Osamu,Shimomura,male
2008,USA,"New York, NY",chemistry,Martin,Chalfie,male
2008,USA,"San Diego, CA",chemistry,Roger Y.,Tsien,male
2008,,,literature,Jean-Marie Gustave,Le Clézio,male
2008,,,peace,Martti,Ahtisaari,male
2008,USA,"Princeton, NJ",economics,Paul,Krugman,male
2009,USA,"San Francisco, CA",medicine,Elizabeth H.,Blackburn,female
2009,USA,"Baltimore, MD",medicine,Carol W.,Greider,female
2009,USA,"Boston, MA",medicine,Jack W.,Szostak,male
2009,United Kingdom,Harlow,physics,Charles Kuen,Kao,male
2009,USA,"Murray Hill, NJ",physics,Willard S.,Boyle,male
2009,USA,"Murray Hill, NJ",physics,George E.,Smith,male
2009,USA,"New Haven, CT",chemistry,Thomas A.,Steitz,male
2009,Israel,Rehovot,chemistry,Ada E.,Yonath,female
2009,,,literature,Herta,Müller,female
2009,,,peace,Barack H.,Obama,male
2009,USA,"Bloomington, IN",economics,Elinor,Ostrom,female
2009,USA,"Berkeley, CA",economics,Oliver E.,Williamson,male
2010,United Kingdom,Cambridge,medicine,Robert G.,Edwards,male
2010,United Kingdom,Manchester,physics,Andre,Geim,male
2010,United Kingdom,Manchester,physics,Konstantin,Novoselov,male
2010,USA,,chemistry,Richard F.,Heck,male
2010,USA,"West Lafayette, IN",chemistry,Ei-ichi,Negishi,male
2010,Japan,Sapporo,chemistry,Akira,Suzuki,male
2010,,,literature,Mario,Vargas Llosa,male
2010,,,peace,Liu,Xiaobo,male
2010,USA,"Cambridge, MA",economics,Peter A.,Diamond,male
2010,USA,"Evanston, IL",economics,Dale T.,Mortensen,male
2010,United Kingdom,London,economics,Christopher A.,Pissarides,male
2011,USA,"Dallas, TX",medicine,Bruce A.,Beutler,male
2011,France,Strasbourg,medicine,Jules A.,Hoffmann,male
2011,USA,"New York, NY",medicine,Ralph M.,Steinman,male
2011,Australia,Weston Creek,physics,Brian P.,Schmidt,male
2011,USA,"Baltimore, MD",physics,Adam G.,Riess,male
2011,Israel,Haifa,chemistry,Dan,Shechtman,male
2011,,,literature,Tomas,Tranströmer,male
2011,,,peace,Ellen,Johnson Sirleaf,female
2011,,,peace,Leymah,Gbowee,female
2011,,,peace,Tawakkol,Karman,female
2011,USA,"New York, NY",economics,Thomas J.,Sargent,male
2011,USA,"Princeton, NJ",economics,Christopher A.,Sims,male
2012,United Kingdom,Cambridge,medicine,Sir John B.,Gurdon,male
2012,Japan,Kyoto,medicine,Shinya,Yamanaka,male
2012,France,Paris,physics,Serge,Haroche,male
2012,USA,"Boulder, CO",physics,David J.,Wineland,male
2012,,,chemistry,Robert J.,Lefkowitz,male
2012,USA,"Stanford, CA",chemistry,Brian K.,Kobilka,male
2012,,,literature,Mo,Yan,male
2012,USA,"Cambridge, MA",economics,Alvin E.,Roth,male
2012,USA,"Los Angeles, CA",economics,Lloyd S.,Shapley,male
2013,USA,"New Haven, CT",medicine,James E.,Rothman,male
2013,USA,"Berkeley, CA",medicine,Randy W.,Schekman,male
2013,USA,"Stanford, CA",medicine,Thomas C.,Südhof,male
2013,Belgium,Brussels,physics,François,Englert,male
2013,United Kingdom,Edinburgh,physics,Peter W.,Higgs,male
2013,France,Strasbourg,chemistry,Martin,Karplus,male
2013,USA,"Stanford, CA",chemistry,Michael,Levitt,male
2013,USA,"Los Angeles, CA",chemistry,Arieh,Warshel,male
2013,,,literature,Alice,Munro,female
2013,USA,"Chicago, IL",economics,Eugene F.,Fama,male
2013,USA,"Chicago, IL",economics,Lars Peter,Hansen,male
2013,USA,"New Haven, CT",economics,Robert J.,Shiller,male
2014,United Kingdom,London,medicine,John,O'Keefe,male
2014,Norway,Trondheim,medicine,May-Britt,Moser,female
2014,Norway,Trondheim,medicine,Edvard I.,Moser,male
2014,Japan,Nagoya,physics,Isamu,Akasaki,male
2014,Japan,Nagoya,physics,Hiroshi,Amano,male
2014,USA,"Santa Barbara, CA",physics,Shuji,Nakamura,male
2014,USA,"Ashburn, VA",chemistry,Eric,Betzig,male
2014,Germany,Göttingen,chemistry,Stefan W.,Hell,male
2014,USA,"Stanford, CA",chemistry,William E.,Moerner,male
2014,,,literature,Patrick,Modiano,male
2014,,,peace,Kailash,Satyarthi,male
2014,,,peace,Malala,Yousafzai,female
2014,France,Toulouse,economics,Jean,Tirole,male
2015,USA,"Madison, NJ",medicine,William C.,Campbell,male
2015,Japan,Tokyo,medicine,Satoshi,Ōmura,male
2015,China,Beijing,medicine,Youyou,Tu,female
2015,Japan,Kashiwa,physics,Takaaki,Kajita,male
2015,Canada,Kingston,physics,Arthur B.,McDonald,male
2015,United Kingdom,Hertfordshire,chemistry,Tomas,Lindahl,male
2015,USA,"Durham, NC",chemistry,Paul,Modrich,male
2015,USA,"Chapel Hill, NC",chemistry,Aziz,Sancar,male
2015,,,literature,Svetlana,Alexievich,female
2015,USA,"Princeton, NJ",economics,Angus,Deaton,male
2016,Japan,Tokyo,medicine,Yoshinori,Ohsumi,male
2016,USA,"Seattle, WA",physics,David J.,Thouless,male
2016,USA,"Princeton, NJ",physics,F. Duncan M.,Haldane,male
2016,USA,"Providence, RI",physics,J. Michael,Kosterlitz,male
2016,France,Strasbourg,chemistry,Jean-Pierre,Sauvage,male
2016,USA,"Evanston, IL",chemistry,Sir J. Fraser,Stoddart,male
2016,the Netherlands,Groningen,chemistry,Bernard L.,Feringa,male
2016,,,peace,Juan Manuel,Santos,male
2016,USA,"Cambridge, MA",economics,Oliver,Hart,male
2016,USA,"Cambridge, MA",economics,Bengt,Holmström,male
2016,,,literature,Bob,Dylan,male
2017,,,physics,Rainer,Weiss,male
2017,,,physics,Barry C.,Barish,male
2017,,,physics,Kip S.,Thorne,male
2017,Switzerland,Lausanne,chemistry,Jacques,Dubochet,male
2017,USA,"New York, NY",chemistry,Joachim,Frank,male
2017,United Kingdom,Cambridge,chemistry,Richard,Henderson,male
2017,USA,"Chicago, IL",economics,Richard H.,Thaler,male
